Name	Location	Start	Starttime	End	Endtime	Long	Lat	asl	v*	dmol	Caption
Polly_1st	Stockholm	20100826	0000	20140614	2359	59	18	60	0	0.0053	, Stockholm, Sweden
Polly_1st	Are	20140630	0000	20140915	2359	52	13	425	0	0.0053	, Are, Ski Resort, Sweden
Polly_1st	Leipzig3	20141001	0000	20150428	2359	51	12	125	0	0.0053	, Leipzig, Germany
Polly_1st	Leipzig	20150429	0000	20990101	2359	51	12	125	0	0.0053	, Leipzig, Germany
PollyXT_NIER	Baengnyeong	20101001	0000	20990101	2359	38	125	0	0	0.0053	, Baengnyeong, Korea
PollyXT_UW	Leipzig2	20130101	0000	20130620	2359	51	12	125	0.07	0.0053	, Leipzig, Germany
PollyXT_UW	Warsaw	20130627	0000	20990101	2359	52	21	100	0.07	0.0053	, Warsaw, Poland
PollyXT_TROPOS	Dushanbe	20150317	0000	20150318	1007	38.56	68.86	864	0.0317	0.016	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Dushanbe	20150319	1008	20150322	1444	38.56	68.86	864	0.00852	0.016	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Dushanbe	20150323	1445	20150626	1814	38.56	68.86	864	0.0173	0.016	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Dushanbe	20150626	1815	20150913	1507	38.56	68.86	864	0.0181	0.0086	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Dushanbe	20150913	1508	20160125	2359	38.56	68.86	864	0.0105	0.0086	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Dushanbe	20160126	0000	20160227	2359	38.56	68.86	864	0.000659	0.0086	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Dushanbe	20160228	0000	20160930	2359	38.56	68.86	864	0.0105	0.0086	, CADEX, Dushanbe, Tajikistan
PollyXT_TROPOS	Leipzig2	20161101	0000	20170219	2359	51	12	125	0.0104	0.016	, Leipzig, Germany
PollyXT_TROPOS	Leipzig	20170220	0000	20170303	1400	51	12	125	0.0104	0.016	, Leipzig, Germany
PollyXT_TROPOS	Haifa	20170319	1400	20170331	1259	32.78	35	191	0.0104	0.016	, Technion, Haifa, Israel
PollyXT_TROPOS	Haifa	20170331	1300	20190512	2359	32.78	35	191	0.0299	0.006	, Technion, Haifa, Israel
PollyXT_TROPOS	Leipzig3	20190702	0000	20990919	0900	51	12	125	0.0124	0.0053	, Leipzig, Germany
PollyXT_NOA	Cyprus	20150302	0000	20150501	2359	35	33	0	0.065	0.018	, Nicosia, Cyprus
PollyXT_NOA	Athens	20150519	0000	20151231	2359	38	24	90	0.131	0.018	, NOA, Athens, Greece
PollyXT_NOA	Athens	20160101	0000	20160215	2359	38	24	90	0.078	0.018	, NOA, Athens, Greece
PollyXT_NOA	Athens	20160216	0000	20160217	2359	38	24	90	0.021	0.018	, NOA, Athens, Greece
PollyXT_NOA	Athens	20160218	0000	20160313	2359	38	24	90	0.042	0.018	, NOA, Athens, Greece
PollyXT_NOA	Cyprus	20160330	0000	20160404	1145	35	33	189	0.0453	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160404	1146	20160409	1210	35	33	189	0.035	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160409	1211	20160411	2023	35	33	189	0.0113	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160411	2024	20160413	1200	35	33	189	0.153	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160413	1201	20160414	0850	35	33	189	0.0896	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160414	0851	20160415	0650	35	33	189	0.0511	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160415	0651	20160423	1030	35	33	189	0.024	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Cyprus	20160423	1030	20160429	1030	35	33	189	0.0383	0.0145	, Nicosia, Cyprus
PollyXT_NOA	Leipzig	20160525	0000	20160823	1329	51	12	125	0	0.0053	, Leipzig, Germany
PollyXT_NOA	Leipzig	20160823	1330	20170220	1700	51	12	125	0.055	0.01	, Leipzig, Germany
PollyXT_NOA	Finokalia	20170225	0000	20170324	2359	26	35	245	0.055	0.01	, Finokalia, Crete, Greece
PollyXT_NOA	Finokalia	20170325	0000	20170404	1210	26	35	245	0.98	0.0053	, Finokalia, Crete, Greece
PollyXT_NOA	Finokalia	20170404	1211	20170405	1352	26	35	245	0.019	0.0053	, Finokalia, Crete, Greece
PollyXT_NOA	Finokalia	20170405	1355	20170406	0900	26	35	238	0.015	0.0053	, Finokalia, Crete, Greece
PollyXT_NOA	Finokalia	20170406	0907	20180531	2359	26	35	245	0.043	0.0053	, Finokalia, Crete, Greece
PollyXT_NOA	Antikythera	20180601	0000	20990220	1700	23.31	35.86	193	0.043	0.0053	, Antikythera, Greece
PollyXT_DWD	Leipzig2	20150101	0000	20150531	2359	51	12	125	0.0269	0.0053	, Leipzig, Germany
PollyXT_DWD	Lindenberg	20150601	0000	20150911	2359	0	0	50	0.0269	0.0053	, RAO, Lindenberg, Germany
PollyXT_DWD	HPB	20150912	0000	20170605	2359	48	11	953	0.0269	0.0053	, Hohenpeissenberg, Germany
PollyXT_DWD	Karlsruhe	20170606	0000	20170608	2359	49	8.4	110	0.0269	0.0053	, Karlsruhe, Germany
